,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10
0,-10.771967900555152,-2.0656743241780755,1.6821009253006325,-0.32814531797290736,-0.410400996035198,-1.6290845044879374,0.7214084830579941,4.7435533534970835,-2.22494140853851,1.3661680370538027
1,-11.282673344523191,0.8065605842836613,1.5490279421438407,-2.9915761883294185,-0.2997732198065224,-1.3901300571850141,-0.11854235349203987,4.1172353802138755,-2.760960352423196,2.8094812879395876
2,-12.432148716716762,1.595511046588182,-0.8763523371128561,-2.0188281605468235,-0.8859774452364334,-4.256020778728548,2.2206290033429745,2.6974317288668384,-3.7856212444221935,2.2055089845039757
3,-12.35632990340504,-1.2013574799559563,-2.169009791325576,2.685123672874016,-4.145572239374914,-3.148781869003686,1.484665883818495,2.7575760519924697,-4.692573562493528,1.917139123761142
4,-10.49121288834857,-3.1574560268580485,-0.8197606893219797,1.1780477875734385,-0.5711739790005533,-1.0376618581733996,-0.5640854883105073,1.2946354960481596,-2.9514838810112014,1.8204991520845015
5,-10.544618465267938,-2.7049519665782,-0.9151544574873994,0.653618757916956,1.1057137673781294,-0.6561663061803009,0.4282236903156944,0.7583039168797636,-0.3726085080472692,-0.807126979592123
6,-10.546229673236452,-1.0387395868778504,-1.3107937950973103,-1.6785762198060807,2.9392131467229445,-1.5615716160510271,1.109154862545334,0.6264250815958735,0.00036691033410135544,-0.5753124395552964
7,-11.291475618740723,1.1084800855771793,-2.679471657779413,-2.0381712031967236,2.6559320495754055,-2.0102202965213833,1.3238776329854,-0.5973911929921574,-0.21323453660504302,-1.4783349372022463
8,-11.78008990842734,2.8341769382491027,-1.554985209378981,-0.179327201460567,2.8917065055300815,-1.0729618878033702,-0.7511829044763066,-0.6668013335021122,0.2371010715351923,-1.6288546428050836
9,-12.251402225854546,3.3788238657724134,-1.6985588710169266,-1.7371653233543385,1.1295668457381451,-1.4060781660619655,-0.8511404834747447,-1.917647559168512,0.5180466166074452,-1.0924782116895337
10,-13.39634478480413,5.189957173223784,-1.4592694835502844,-3.981882046345679,-0.9547702385519388,-1.7610500428435516,-1.2586915799594558,-3.241911782514207,-0.38917810239740447,-2.585530694632943
11,-13.56262980106007,8.340025505805153,-1.3701786395932305,-3.6523292423956146,-1.1710904404850435,0.8521157182339081,-2.0881078335266814,-3.916244790800041,-2.6303484047648915,-1.443642211086849
12,-12.813995301898899,10.499940095141849,-2.7990573420547427,-1.4812792702296957,0.28291331657262686,0.7629404759636355,-2.8188923545500786,-0.38977236039973656,-2.5671918094296307,-0.3333613638320994
13,-13.085881693572533,5.647306738807088,-1.7253370784402278,1.199649002789257,0.9604322190320904,-0.4109714482232699,-1.7761698391261276,0.6700370617375841,1.067662798299592,0.42339128265909043
14,-14.104358318962179,0.8801332149914199,3.1056075789091717,0.04212710815913125,1.9226973741231808,-1.1070507030670254,-2.2022151822118894,0.29647712380614316,1.080366856883169,0.37349571913269863
15,-12.884628942035784,0.4959525028361447,4.125750284665194,0.09543673160588358,1.90944963201187,0.01215344808383931,-2.054464928981097,0.08967926228901389,1.9899444010439928,-0.4584554462313439
16,-11.864379893775467,3.6988334073088867,3.726628865074429,0.07085187457828312,2.6555558510841997,1.3306391840919831,-1.6760853891926477,-0.21928328818948276,-1.096411433123315,-1.3210523275863089
17,-12.044088225068714,3.903627552735844,1.703178628938557,1.4910250184713991,3.6506515082802933,1.3590377338359152,-0.40322486241898253,-0.6745946269234941,-2.1653441923042522,1.077482381488845
18,-12.018740310943384,3.785750957580833,1.4933377602412863,3.1004309551678495,4.027229662522036,1.6516541788659398,-0.7504367318216371,0.3157000067958172,-2.660083383164252,-1.3176484642315847
19,-11.099176611777272,1.1141374752107025,0.3963180177561905,3.1579527753364274,1.9633473909426529,1.7647941543372394,-0.32288580203684425,-0.16356896860947834,-0.4734358230578886,-0.3307683994336047
20,-10.708305708651636,-2.3731848623324776,-0.06258422621943897,4.034779988012008,-1.0905020343679368,1.626748338257285,1.7481445752667115,-1.4526281243928805,-1.1518376331575992,-1.6391583180113545
21,-9.091107139664942,-4.600952527123755,1.2908387407606943,4.11473567141802,-0.7856164320138869,3.2008071564665577,-1.111396262167924,-1.1869777699980104,-1.42381593688763,-0.9794401835413629
22,-8.175368744397128,-4.2151997943198065,2.228650643528886,3.510624122577626,1.0077128085440756,3.270588682514763,0.3396563207205148,1.4693796743296461,0.5518480861909789,-2.355530306863288
23,-9.26194894834198,-4.1252559019835315,2.949961596833221,0.7642099525361472,3.860253670642478,0.7755309733895426,-1.0799899563266326,1.587765620538577,-0.1116899704562026,-1.3198315116154193
